entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
Display Technologies,1605,2021-05-13,2021,DT-PHG-1,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Port Hole Glass,Port Hole Glass,975.0,1,0
Display Technologies,1606,2021-05-14,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Bespoke Solutions,Bespoke Solutions,650.0,1,0
Display Technologies,INV-0428,2021-05-19,2021,,0,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,,,0.0,1,1
Display Technologies,INV-0428,2021-05-19,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Shipping Out,Shipping Out,350.0,0,1
Display Technologies,1607,2021-05-19,2021,DT-DYN-2S-510,1,Prime Solutions LLC,Prime Solutions LLC,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,8112.0,1,0
Display Technologies,1607,2021-05-19,2021,,1,Prime Solutions LLC,Prime Solutions LLC,Paid,Sales - Image Surfaces,Image Surfaces,546.0,1,0
Display Technologies,1608,2021-05-19,2021,DT-DYN-2TB-300,1,Prime Solutions LLC,Prime Solutions LLC,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,4075.5,1,0
Display Technologies,1608,2021-05-19,2021,,1,Prime Solutions LLC,Prime Solutions LLC,Paid,Sales - Image Surfaces,Image Surfaces,292.5,1,0
Display Technologies,INV-0428,2021-05-19,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Shipping Out,Shipping Out,630.0,0,1
Display Technologies,INV-0429,2021-05-19,2021,,0,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,,,0.0,1,0
Display Technologies,INV-0429,2021-05-19,2021,,0,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,,,0.0,1,0
