source_file,entity,entity_role,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,category,category_source,carried_brand,supply,net,is_product_revenue,is_intra_group,description,item_description
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0823,2012-02-13,2012,,1,Fusion.One International Ltd,Fusion.One International Ltd,Paid,Sales - ADA,ADA,Amplifiers,brand-map,ADA,carried,2700.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0825,2012-02-13,2012,,8,Sceptre AV,Sceptre AV,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,600.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0825,2012-02-13,2012,,7,Sceptre AV,Sceptre AV,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,420.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1002,2012-02-29,2012,,1,Cornflake Ltd.,Cornflake Ltd.,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,-2434.71,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1002,2012-02-29,2012,,1,Cornflake Ltd.,Cornflake Ltd.,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,-129.6,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1002,2012-02-29,2012,,1,Cornflake Ltd.,Cornflake Ltd.,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,-890.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1003,2012-03-14,2012,,2,Future Systems AV Ltd,Future Systems AV Ltd,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,-156.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1013,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,-1380.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1013,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1013,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,-132.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1014,2012-03-14,2012,,14,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,-7000.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1014,2012-03-14,2012,,6,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,-2100.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1014,2012-03-14,2012,,16,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,-1440.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,CN-1014,2012-03-14,2012,,7,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,-1050.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0854,2012-03-14,2012,,3,DLUK (London) Ltd,DLUK (London) Ltd,Paid,Sales - STRAIGHTWIRE,STRAIGHTWIRE,Cables & distribution,brand-map,Straight Wire,carried,57.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0855,2012-03-14,2012,,4,The Pleasure Home,The Pleasure Home,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,1800.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0855,2012-03-14,2012,,1,The Pleasure Home,The Pleasure Home,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,-75.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0856,2012-03-14,2012,,1,Brilliant Living,Brilliant Living,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,500.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0856,2012-03-14,2012,,2,Brilliant Living,Brilliant Living,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,200.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0857,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,1380.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0857,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0857,2012-03-14,2012,,1,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,132.0,1,0,,
