entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
GTUK / Apex Tech Scotland Ltd,INV-2022/1787,2022-01-13,2022,STH-SRAY6W,1,D3 AV Ltd,D3 AV Ltd,Paid,Sales - STEALTH,STEALTH,700.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1787,2022-01-13,2022,,1,D3 AV Ltd,D3 AV Ltd,Paid,Other Revenue,Other Revenue,13.0,0,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1788,2022-01-13,2022,NGTC-0000,1,Sensory International Ltd,Sensory International Ltd,Paid,Sales - NEXTGENTECH,NEXTGENTECH,1072.5,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1788,2022-01-13,2022,,1,Sensory International Ltd,Sensory International Ltd,Paid,Sales - NEXTGENTECH,NEXTGENTECH,-172.5,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1788,2022-01-13,2022,,0,Sensory International Ltd,Sensory International Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1789,2022-01-13,2022,STH-LR8G,3,AT&C Professional Systems Ltd.,AT&C Professional Systems Ltd.,Paid,Sales - STEALTH,STEALTH,2100.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1789,2022-01-13,2022,STH-MBC-22,7,AT&C Professional Systems Ltd.,AT&C Professional Systems Ltd.,Paid,Sales - STEALTH,STEALTH,525.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1789,2022-01-13,2022,STH-SLR8G,1,AT&C Professional Systems Ltd.,AT&C Professional Systems Ltd.,Paid,Sales - STEALTH,STEALTH,600.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1789,2022-01-13,2022,,0,AT&C Professional Systems Ltd.,AT&C Professional Systems Ltd.,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1790,2022-01-17,2022,,1,What You See And Hear Limited,What You See And Hear Limited,Paid,Sales - SERVICES,SERVICES,12000.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1790,2022-01-17,2022,,1,What You See And Hear Limited,What You See And Hear Limited,Paid,Sales - SERVICES,SERVICES,2780.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2021/1771,2022-01-23,2022,BAR-BAL-CHT-B,1,proAV Ltd,proAV Ltd,Paid,Sales - BARCO,BARCO,20800.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2021/1771,2022-01-23,2022,BAR-BRA-LENS-CS,1,proAV Ltd,proAV Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2021/1771,2022-01-23,2022,,1,proAV Ltd,proAV Ltd,Paid,Sales - BARCO,BARCO,-1040.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2021/1771,2022-01-23,2022,,0,proAV Ltd,proAV Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1792,2022-01-25,2022,DT-PHG-1,1,Prestige Audio,Prestige Audio,Paid,Sales - DT SCREENS,DT SCREENS,1150.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1792,2022-01-25,2022,,0,Prestige Audio,Prestige Audio,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1792,2022-01-25,2022,,0,Prestige Audio,Prestige Audio,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1791,2022-01-28,2022,ACU-MUSE-16-R,1,HiFi Corner (Edinburgh) Ltd,HiFi Corner (Edinburgh) Ltd,Paid,Sales - ACURUS,ACURUS,4800.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1795,2022-01-31,2022,,1,proAV Ltd,proAV Ltd,Paid,Sales - DT SCREENS,DT SCREENS,10170.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1795,2022-01-31,2022,,1,proAV Ltd,proAV Ltd,Paid,Sales - DT SCREENS,DT SCREENS,660.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1795,2022-01-31,2022,,1,proAV Ltd,proAV Ltd,Paid,Sales - DT SCREENS,DT SCREENS,1800.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1795,2022-01-31,2022,,1,proAV Ltd,proAV Ltd,Paid,"Postage, Freight & Courier","Postage, Freight & Courier",350.0,0,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1795,2022-01-31,2022,,0,proAV Ltd,proAV Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1785,2022-02-08,2022,,1,Clear AV Ltd t/a OKTO,Clear AV Ltd t/a OKTO,Paid,Sales - STEALTH,STEALTH,700.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1785,2022-02-08,2022,,2,Clear AV Ltd t/a OKTO,Clear AV Ltd t/a OKTO,Paid,Sales - STEALTH,STEALTH,150.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1785,2022-02-08,2022,,0,Clear AV Ltd t/a OKTO,Clear AV Ltd t/a OKTO,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1798,2022-02-09,2022,BAR-EC-BAL-2,1,Smart Life AV LTD,Smart Life AV LTD,Paid,Sales - BARCO,BARCO,2600.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1798,2022-02-09,2022,,0,Smart Life AV LTD,Smart Life AV LTD,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1798,2022-02-09,2022,,0,Smart Life AV LTD,Smart Life AV LTD,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1799,2022-02-15,2022,BAR-FREYA,1,Audio Alpha Ltd,Audio Alpha Ltd,Paid,Sales - BARCO,BARCO,40500.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1799,2022-02-15,2022,DT-PHG-2,1,Audio Alpha Ltd,Audio Alpha Ltd,Paid,Sales - DT SCREENS,DT SCREENS,1350.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1799,2022-02-15,2022,DT-SMM-XL,1,Audio Alpha Ltd,Audio Alpha Ltd,Paid,Sales - DT SCREENS,DT SCREENS,2250.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1799,2022-02-15,2022,DT-DYN-4-330,1,Audio Alpha Ltd,Audio Alpha Ltd,Paid,Sales - DT SCREENS,DT SCREENS,7492.5,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1799,2022-02-15,2022,DT-IS-ATR-330,1,Audio Alpha Ltd,Audio Alpha Ltd,Paid,Sales - DT SCREENS,DT SCREENS,405.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1800,2022-02-17,2022,,1,LiveSmarter Ltd,LiveSmarter Ltd,Paid,Sales - DT SCREENS,DT SCREENS,450.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1800,2022-02-17,2022,,1,LiveSmarter Ltd,LiveSmarter Ltd,Paid,"Postage, Freight & Courier","Postage, Freight & Courier",50.0,0,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1800,2022-02-17,2022,,0,LiveSmarter Ltd,LiveSmarter Ltd,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1801,2022-02-17,2022,BAR-BAL-CHT-B,1,iHomes London Media Rooms,iHomes London Media Rooms,Paid,Sales - BARCO,BARCO,20800.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1801,2022-02-17,2022,BAR-BAL-LENS-CWAZ,1,iHomes London Media Rooms,iHomes London Media Rooms,Paid,,,0.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1804,2022-02-20,2022,,1,HiFi Corner (Edinburgh) Ltd,HiFi Corner (Edinburgh) Ltd,Paid,Sales - CINEMA PARTNERS SERVICES,CINEMA PARTNERS SERVICES,414.0,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1804,2022-02-20,2022,,1,HiFi Corner (Edinburgh) Ltd,HiFi Corner (Edinburgh) Ltd,Paid,Sales - CINEMA PARTNERS SERVICES,CINEMA PARTNERS SERVICES,1407.6,1,0
GTUK / Apex Tech Scotland Ltd,INV-2022/1804,2022-02-20,2022,,1,HiFi Corner (Edinburgh) Ltd,HiFi Corner (Edinburgh) Ltd,Paid,Sales - CINEMA PARTNERS SERVICES,CINEMA PARTNERS SERVICES,2649.6,1,0
